"Subject" "Emotion" "Memory" "Test.Tag"
"130" 10 "Fear" "Fear\Female\FF_4.png" "Fear\Female\FF_2.png"
"131" 10 "Anger" "Anger\Female\AF_5.png" "Anger\Female\AF_5.png"
"132" 10 "Anger" "Anger\Female\AF_6.png" "Anger\Female\AF_6.png"
"133" 10 "Anger" "Anger\Male\AM_1.png" "Anger\Male\AM_1.png"
"134" 10 "Happy" "Happiness\Male\HM_5.png" "Happiness\Male\HM_5.png"
"135" 10 "Fear" "Fear\Female\FF_3.png" "Fear\Female\FF_3.png"
"136" 10 "Anger" "Anger\Male\AM_3.png" "Anger\Male\AM_2.png"
"137" 10 "Happy" "Happiness\Male\HM_3.png" "Happiness\Male\HM_5.png"
"138" 10 "Happy" "Happiness\Female\HF_6.png" "Happiness\Female\HF_7.png"
"139" 10 "Happy" "Happiness\Female\HF_1.png" "Happiness\Female\HF_5.png"
"140" 10 "Fear" "Fear\Male\FM_0.png" "Fear\Male\FM_0.png"
"141" 10 "Fear" "Fear\Female\FF_1.png" "Fear\Female\FF_1.png"
"142" 10 "Anger" "Anger\Male\AM_0.png" "Anger\Male\AM_0.png"
"143" 10 "Fear" "Fear\Male\FM_1.png" "Fear\Male\FM_1.png"
"144" 10 "Anger" "Anger\Female\AF_1.png" "Anger\Female\AF_2.png"
"145" 10 "Anger" "Anger\Male\AM_3.png" "Anger\Male\AM_3.png"
"146" 10 "Happy" "Happiness\Female\HF_4.png" "Happiness\Female\HF_6.png"
"147" 10 "Happy" "Happiness\Male\HM_6.png" "Happiness\Male\HM_6.png"
"148" 10 "Anger" "Anger\Female\AF_5.png" "Anger\Female\AF_5.png"
"149" 10 "Happy" "Happiness\Male\HM_3.png" "Happiness\Male\HM_4.png"
"150" 10 "Fear" "Fear\Male\FM_4.png" "Fear\Male\FM_2.png"
"151" 10 "Anger" "Anger\Male\AM_2.png" "Anger\Male\AM_2.png"
"152" 10 "Happy" "Happiness\Female\HF_0.png" "Happiness\Female\HF_1.png"
"153" 10 "Happy" "Happiness\Male\HM_1.png" "Happiness\Male\HM_1.png"
"154" 10 "Anger" "Anger\Female\AF_7.png" "Anger\Female\AF_5.png"
"155" 10 "Anger" "Anger\Male\AM_5.png" "Anger\Male\AM_5.png"
"156" 10 "Anger" "Anger\Female\AF_4.png" "Anger\Female\AF_5.png"
"157" 10 "Fear" "Fear\Female\FF_7.png" "Fear\Female\FF_7.png"
"158" 10 "Anger" "Anger\Male\AM_7.png" "Anger\Male\AM_6.png"
"159" 10 "Anger" "Anger\Male\AM_7.png" "Anger\Male\AM_7.png"
"160" 10 "Anger" "Anger\Female\AF_1.png" "Anger\Female\AF_5.png"
"161" 10 "Fear" "Fear\Male\FM_6.png" "Fear\Male\FM_4.png"
"162" 10 "Anger" "Anger\Male\AM_4.png" "Anger\Male\AM_4.png"
"163" 10 "Happy" "Happiness\Male\HM_1.png" "Happiness\Male\HM_1.png"
"164" 10 "Anger" "Anger\Female\AF_3.png" "Anger\Female\AF_4.png"
"165" 10 "Fear" "Fear\Male\FM_6.png" "Fear\Male\FM_5.png"
"166" 10 "Fear" "Fear\Male\FM_2.png" "Fear\Male\FM_1.png"
"167" 10 "Happy" "Happiness\Female\HF_7.png" "Happiness\Female\HF_7.png"
"168" 10 "Anger" "Anger\Female\AF_6.png" "Anger\Female\AF_6.png"
"169" 10 "Happy" "Happiness\Male\HM_7.png" "Happiness\Male\HM_7.png"
"170" 10 "Happy" "Happiness\Female\HF_3.png" "Happiness\Female\HF_3.png"
"171" 10 "Happy" "Happiness\Female\HF_2.png" "Happiness\Female\HF_3.png"
"172" 10 "Happy" "Happiness\Female\HF_1.png" "Happiness\Female\HF_1.png"
"173" 10 "Fear" "Fear\Female\FF_4.png" "Fear\Female\FF_3.png"
"174" 10 "Anger" "Anger\Female\AF_3.png" "Anger\Female\AF_3.png"
"175" 10 "Happy" "Happiness\Female\HF_2.png" "Happiness\Female\HF_2.png"
